Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,City
1/01/2009,-10.9,-5.8,-15.6,1026.5,65.0,0.0,24.0,12.4,40.7,57.6,0,0,0,0,Toronto
2/01/2009,-2.1,0.3,-5.4,1008.6,63.0,0.0,22.4,17.8,35.2,40.7,0,0,0,0,Toronto
3/01/2009,-4.3,-2.0,-7.0,1017.4,65.0,0.51,24.0,22.8,35.2,48.2,0,0,0,0,Toronto
4/01/2009,-7.3,-1.9,-12.2,1022.1,63.0,0.0,22.9,11.3,18.3,35.2,1,0,0,0,Toronto
5/01/2009,-2.7,1.0,-7.0,1016.7,65.0,0.0,20.6,20.2,35.2,44.3,1,0,0,0,Toronto
6/01/2009,-5.4,0.6,-10.0,1014.8,64.0,0.0,24.1,13.9,29.4,44.6,0,0,0,0,Toronto
7/01/2009,-0.6,1.0,-2.0,996.6,78.0,12.7,9.7,16.7,31.3,46.5,1,1,0,0,Toronto
8/01/2009,-4.3,-0.7,-7.0,993.7,69.0,0.76,21.7,27.8,37.0,48.2,0,1,0,0,Toronto
9/01/2009,-9.3,-2.8,-12.2,1015.6,66.0,0.0,23.5,12.8,18.3,48.2,0,1,0,0,Toronto
10/01/2009,-9.7,-6.0,-14.9,1023.9,65.0,0.0,20.4,14.3,25.9,33.5,0,1,0,0,Toronto
11/01/2009,-9.6,-6.8,-14.9,1018.3,61.0,3.56,18.3,16.1,35.2,38.9,0,1,0,0,Toronto
12/01/2009,-6.7,-3.8,-12.8,1019.8,70.0,0.0,22.2,14.8,25.9,35.2,0,1,0,0,Toronto
13/01/2009,-3.2,1.1,-10.6,1014.0,67.0,4.57,16.6,19.8,46.5,57.2,0,1,0,0,Toronto
14/01/2009,-16.5,-10.8,-21.8,1019.9,63.0,0.0,20.4,14.4,38.9,64.8,0,1,0,0,Toronto
15/01/2009,-15.0,-11.0,-19.0,1025.3,67.0,1.27,18.7,14.4,24.1,33.5,0,1,0,0,Toronto
16/01/2009,-15.4,-10.8,-19.3,1029.7,68.0,0.25,22.4,23.7,38.9,50.0,0,1,0,0,Toronto
