Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR,City
1990.0,8.9,15.1,3.1,887.63,15.7,168.0,80.0,22.0,166.0,0.0,0.0,Toronto
1991.0,9.1,15.2,3.3,830.07,14.6,149.0,78.0,30.0,127.0,0.0,1.0,Toronto
1992.0,7.3,12.9,1.7,967.7,12.5,171.0,91.0,32.0,85.0,0.0,1.0,Toronto
1993.0,7.5,13.5,1.5,762.67,14.1,165.0,88.0,34.0,130.0,0.0,1.0,Toronto
1994.0,7.5,14.0,1.6,951.45,14.5,153.0,86.0,38.0,145.0,1.0,1.0,Toronto
1995.0,8.0,14.0,2.4,900.39,14.8,165.0,100.0,31.0,136.0,0.0,3.0,Toronto
1996.0,7.3,12.7,2.5,951.65,14.3,177.0,99.0,39.0,64.0,0.0,3.0,Toronto
1997.0,7.8,13.5,2.8,627.08,14.5,159.0,109.0,22.0,17.0,0.0,2.0,Toronto
1998.0,10.5,16.3,5.4,686.54,14.0,153.0,51.0,27.0,9.0,0.0,1.0,Toronto
1999.0,9.7,15.4,4.8,760.93,15.8,144.0,67.0,23.0,21.0,0.0,0.0,Toronto
2000.0,8.4,14.1,3.5,777.67,15.6,156.0,86.0,28.0,53.0,0.0,1.0,Toronto
2001.0,9.8,15.2,5.0,731.15,16.1,149.0,83.0,25.0,35.0,0.0,0.0,Toronto
2002.0,8.8,14.2,3.75,839.44,15.850000000000001,149.0,88.0,23.0,38.0,0.0,0.0,Toronto
2003.0,8.1,13.6,3.3,1078.68,16.0,159.0,91.0,30.0,48.0,0.0,1.0,Toronto
2004.0,8.4,13.8,3.6,756.58,16.1,157.0,78.0,22.0,23.0,0.0,0.0,Toronto
2005.0,8.8,14.2,3.75,839.44,15.850000000000001,157.0,80.0,27.0,16.0,0.0,1.0,Toronto
2006.0,9.9,15.2,5.2,860.79,16.3,171.0,58.0,27.0,12.0,0.0,1.0,Toronto
2007.0,9.2,14.8,4.0,602.99,16.1,139.0,79.0,26.0,9.0,0.0,2.0,Toronto
2008.0,8.4,13.8,3.7,1043.89,15.5,160.0,82.0,35.0,10.0,0.0,4.0,Toronto
2009.0,8.3,13.7,3.4,905.28,15.9,149.0,60.0,27.0,2.0,0.0,3.0,Toronto
2010.0,9.8,15.2,4.9,817.87,16.7,147.0,62.0,19.0,5.0,0.0,0.0,Toronto
2011.0,9.4,14.7,4.7,925.82,15.9,158.0,62.0,29.0,11.0,0.0,0.0,Toronto
2012.0,10.7,16.4,5.7,730.72,14.7,166.0,63.0,25.0,10.0,0.0,1.0,Toronto
